ncessch,name,state_code,latitude,longitude,zip_code,city,address,school_type,school_type_text,total_students,total_09,total_10,total_11,total_12,total_white,total_black,total_hispanic,total_asian,total_amerindian,total_nativehawaii,total_tworaces,free_reduced_lunch
A0102958,UNITY CHRISTIAN SCHOOL,GA,34.28735,-85.136831,30161,ROME,2960 NEW CALHOUN HWY NE,1,Regular elementary or secondary,328,31,22,23,19,302,12,3,2,0,0,9,0
A0102963,WHITEFIELD ACADEMY,GA,33.823195,-84.509678,30126,MABLETON,1 WHITEFIELD DR SE,1,Regular elementary or secondary,750,75,65,66,43,602,25,73,45,2,3,0,0
A0102974,KAMEHAMEHA SCHOOLS MAUI,HI,20.822175,-156.340274,96768,MAKAWAO,270 AAPUEO PKWY,1,Regular elementary or secondary,1032,120,120,120,120,0,0,0,0,0,1032,0,0
A0103067,CHICAGOLAND JEWISH HIGH SCHOOL,IL,42.15081,-87.853821,60015,DEERFIELD,1095 LAKE COOK RD,1,Regular elementary or secondary,159,41,37,40,41,157,0,0,2,0,0,0,0
A0103176,THE HIGH SCHOOL OF ST THOMAS MORE,IL,40.16262,-88.280351,61822,CHAMPAIGN,3901 N MATTIS AVE,1,Regular elementary or secondary,307,78,82,68,79,260,6,10,25,0,0,6,0
A0103217,COVENANT CHRISTIAN HIGH SCHOOL,IN,41.18616,-87.205221,46310,DEMOTTE,PO BOX 430,1,Regular elementary or secondary,101,26,26,25,24,96,3,0,2,0,0,0,0
A0103720,BISHOP SEABURY ACADEMY,KS,38.94341,-95.293261,66047,LAWRENCE,4120 CLINTON PKWY,1,Regular elementary or secondary,196,31,20,31,28,150,6,9,30,1,0,0,0
A0103763,CHRISTIAN ACADEMY OF LOUISVILLE ENGLISH CAMPUS,KY,38.22948,-85.500431,40245,LOUISVILLE,700 S ENGLISH STATION RD,1,Regular elementary or secondary,1665,162,168,178,162,1509,57,23,50,7,3,16,0
A0104113,MESIVTA HIGH SCHOOL OF GREATER BOSTON,MA,42.35131,-71.151561,02135,BRIGHTON,34 SPARHAWK ST,1,Regular elementary or secondary,53,14,13,13,13,53,0,0,0,0,0,0,0
A0104221,BROTHER RICE HIGH SCHOOL,MI,42.53576,-83.261651,48301,BLOOMFIELD HILLS,7101 LAHSER RD,1,Regular elementary or secondary,628,162,162,157,147,544,48,12,15,0,0,9,0
A0104396,GENESEE CHRISTIAN SCHOOL,MI,43.01298,-83.593931,48509,BURTON,1223 S BELSAY RD,1,Regular elementary or secondary,333,28,17,38,31,315,11,3,1,3,0,0,0
A0104653,LUTHERAN HIGH SCHOOL SOUTH,MI,41.996108,-83.35967,48166,NEWPORT,8210 N TELEGRAPH RD,1,Regular elementary or secondary,43,7,11,14,11,43,0,0,0,0,0,0,0
A0105062,ST PATRICK SCHOOL,MI,42.8721732,-84.9088171,48875,PORTLAND,122 N WEST ST,1,Regular elementary or secondary,340,26,25,20,20,322,6,7,1,4,0,0,24
A0105207,HOLY FAMILY CATHOLIC HIGH SCHOOL,MN,44.8577,-93.643441,55386,VICTORIA,8101 KOCHIA LN,1,Regular elementary or secondary,443,108,110,110,115,420,4,12,5,2,0,0,0
A0105224,MARANATHA CHRISTIAN ACADEMY,MN,45.08939,-93.398401,55428,BROOKLYN PARK,9201 75TH AVE N,1,Regular elementary or secondary,561,57,42,56,35,394,85,21,12,1,0,48,0
A0105245,SOUTHWEST CHRISTIAN HIGH SCHOOL,MN,44.811909,-93.609795,55318,CHASKA,1981 BAVARIA RD,1,Regular elementary or secondary,298,83,81,80,54,282,3,8,5,0,0,0,0
A0105442,PRENTISS CHRISTIAN SCHOOL,MS,31.598776,-89.878165,39474,PRENTISS,PO BOX 1287,1,Regular elementary or secondary,254,29,22,27,22,250,3,1,0,0,0,0,0
A0105444,PRESBYTERIAN CHRISTIAN SCHOOL,MS,31.284878,-89.312551,39401,HATTIESBURG,103 W.S.F. TATUM DRIVE,1,Regular elementary or secondary,885,64,63,65,79,842,37,2,4,0,0,0,0
A0105700,PLAZA HEIGHTS CHRISTIAN ACADEMY,MO,39.00374,-94.282341,64015,BLUE SPRINGS,1500 SW CLARK RD,1,Regular elementary or secondary,279,21,19,18,17,253,9,7,10,0,0,0,0
A0105826,GREAT FALLS CENTRAL CATHOLIC HIGH SCHOOL,MT,47.48404,-111.261411,59405,GREAT FALLS,2800 18TH AVE S,1,Regular elementary or secondary,121,33,31,31,26,99,0,3,18,1,0,0,11
A0105895,BROWNELL TALBOT SCHOOLS,NE,41.26342,-95.998741,68132,OMAHA,400 N HAPPY HOLLOW BLVD,1,Regular elementary or secondary,400,36,34,41,28,307,21,7,33,0,3,29,0
A0106151,WORD OF LIFE CHRISTIAN ACADEMY,NV,36.224347,-115.259296,89129,LAS VEGAS,3520 N BUFFALO DR,1,Regular elementary or secondary,197,13,11,12,16,126,12,22,18,1,3,15,0
A0106239,MOUNT ROYAL ACADEMY,NH,43.39961,-72.085381,03782,SUNAPEE,PO BOX 362,1,Regular elementary or secondary,191,18,10,17,11,177,7,3,1,0,3,0,0
A0106843,MESIVTA TIFERES RAV ZVI ARYEH ZEMEL,NJ,40.85071,-74.124511,07055,PASSAIC,15 TEMPLE PL,1,Regular elementary or secondary,130,32,30,38,30,130,0,0,0,0,0,0,0
A0106959,PIONEER ACADEMY,NJ,40.91288,-74.232821,07470,WAYNE,164 TOTOWA ROAD,1,Regular elementary or secondary,278,51,47,61,71,124,1,2,16,0,1,134,0
A0107303,URBAN PROMISE ACADEMY,NJ,39.94818,-75.072361,08105,CAMDEN,PO BOX 1479,1,Regular elementary or secondary,62,21,15,10,16,1,25,35,0,0,0,1,52
A0107447,BNOS MENACHEM,NY,40.66257,-73.938021,11203,BROOKLYN,739 E NEW YORK AVE,1,Regular elementary or secondary,520,40,40,40,40,520,0,0,0,0,0,0,0
A0107454,BROOKLYN AMITY SCHOOL,NY,40.586452,-73.9326,11235,BROOKLYN,3867 SHORE PKWY,1,Regular elementary or secondary,278,26,38,34,24,226,26,0,11,0,0,15,0
A0107510,CHRISTIAN HERITAGE ACADEMY,NY,40.62807,-73.935871,11210,BROOKLYN,1100 E 42ND ST,1,Regular elementary or secondary,162,17,16,14,25,3,155,3,1,0,0,0,0
A0107541,ANDALUSIA SCHOOL,NY,40.93482,-73.885871,10701,YONKERS,380 WALNUT ST,1,Regular elementary or secondary,324,31,26,22,23,190,21,0,109,0,0,4,236
